user_id,role,target_date,days_visible,timeline
SUB301,Teller,2026-09-21,1,"2026-09-21 09:05:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:23:23 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:46:30 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:52:39 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 10:03:46 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 11:26:24 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:19:39 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:46:59 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 14:36:12 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 15:32:43 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:11:37 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:37:08 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:54:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1"
SUB301,Teller,2026-09-22,2,"2026-09-21 09:05:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:23:23 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:46:30 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:52:39 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 10:03:46 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 11:26:24 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
